id,dateTimeEvent,lat,lon,sensor,levelcomfort
665,2025/06/14 10:48:33.935,58.6036068,16.1742383,test,2
668,2025/06/14 11:51:58.691,58.5756307,16.1612566,test,4
676,2025/06/14 14:44:54.317,58.5756384886999,16.1596072412968,test,4
802,2025/06/30 08:51:40.921,58.5920191689786,16.1902322980547,test,2
803,2025/06/30 08:53:27.806,58.5920409461746,16.190093012735,test,2
804,2025/06/30 09:04:16.494,58.5817820254883,16.1492419190016,test,2
805,2025/06/30 12:35:36.124,58.5853257,16.1819698,test,1
806,2025/06/30 13:54:38.952,58.5765043,16.1930615,test,4
811,2025/06/30 19:50:33.410,58.5745009,16.1765465,test,3
812,2025/07/01 06:46:50.953,58.5846483857435,16.1909586307736,test,2
813,2025/07/01 07:10:44.998,58.5892822,16.1809714,test,2
815,2025/07/01 09:48:50.121,58.5781953643054,16.1973477398764,test,2
821,2025/07/01 11:52:24.595,58.581339,16.1483738,test,4
827,2025/07/01 13:20:27.243,58.5831178198594,16.235784313065,test,4
838,2025/07/01 15:50:32.863,58.6013254,16.1589622,test,4
847,2025/07/02 05:53:49.342,58.5948249001783,16.1763072363716,test,2
849,2025/07/02 08:06:21.024,58.5816114092602,16.1486642154895,test,2
851,2025/07/02 08:09:41.937,58.5929657350386,16.1913032463711,test,2
853,2025/07/02 10:24:08.160,58.5796796252671,16.1841006553328,test,2
858,2025/07/02 10:51:18.919,58.5816706808502,16.148895749169,test,2
859,2025/07/02 10:58:00.699,58.5919612,16.1896197,test,4
860,2025/07/02 10:58:10.963,58.5936268217833,16.1976944133103,test,2
862,2025/07/02 11:00:32.605,58.5913364160132,16.2243386617572,test,1
871,2025/07/02 13:11:12.223,58.581631230248,16.1488097831575,test,3
875,2025/07/02 14:56:17.276,58.6035961,16.174299,test,1
882,2025/07/02 17:58:45.365,58.5869877781255,16.186913395038,test,4
883,2025/07/02 18:17:33.950,58.5901033,16.1670443,test,1
910,2025/07/14 05:58:47.366,58.5877570359481,16.1945924069918,test,3
912,2025/07/14 10:14:10.159,58.6013344,16.1586486,test,1
917,2025/07/15 11:48:17.265,58.5782328304646,16.1602470009848,test,4
918,2025/07/15 12:38:34.649,58.581842,16.1479644,test,4
924,2025/07/16 10:08:31.746,58.6013211,16.1586704,test,2
927,2025/07/17 06:10:12.668,58.5879282,16.1937006,test,2
932,2025/07/17 10:56:54.009,58.5857496,16.1884059,test,3
933,2025/07/17 11:17:51.793,58.5954197,16.1895018,test,5
935,2025/07/17 13:12:37.470,58.6013077,16.1588872,test,4
944,2025/07/18 11:11:38.080,58.6012614,16.1588528,test,5
946,2025/07/19 03:58:00.851,58.5911309,16.1945178,test,1
947,2025/07/19 07:21:11.754,58.5776896,16.224017,test,3
948,2025/07/19 07:24:45.445,58.6013768,16.1586432,test,4
949,2025/07/19 07:27:12.810,58.5763293,16.2317364,test,2
952,2025/07/19 18:32:04.089,58.5783050711681,16.1998423163855,test,5
954,2025/07/20 08:59:20.403,58.6013226,16.1587042,test,4
957,2025/07/20 22:17:35.831,58.5911558,16.1945894,test,1
961,2025/07/21 12:08:04.911,58.6012589,16.1587947,test,4
963,2025/07/22 10:19:41.448,58.592214169954,16.1896787491024,test,4
986,2025/07/23 07:04:18.143,58.587382639068,16.1463127717495,test,1
988,2025/07/23 08:21:17.624,58.5779424,16.1842057,test,2
989,2025/07/23 08:29:18.354,58.5912296886269,16.2239323863541,test,1
996,2025/07/24 15:37:55.785,58.6013685,16.158671,test,4
1000,2025/07/25 13:44:49.313,58.6012789,16.1588182,test,4
1002,2025/07/27 10:53:19.451,58.5949647,16.1839546,test,2
1004,2025/07/27 16:07:48.071,58.589561277547,16.1865281768885,test,4
1007,2025/07/28 12:33:57.103,58.6012554,16.1588479,test,1
1017,2025/07/30 12:12:04.280,58.603593,16.1742423,test,1
1023,2025/07/30 16:21:25.986,58.5824719432597,16.1547098379272,test,3
1025,2025/08/08 12:57:55.683,58.6014194,16.1588948,test,2
1030,2025/08/12 15:48:07.578,58.5952484997884,16.1818479744725,test,2
1032,2025/08/13 05:45:06.913,58.5963200356655,16.1832247472279,test,2
1034,2025/08/13 11:55:17.042,58.5868505986457,16.167783691178,test,2
1038,2025/08/13 14:56:54.381,58.5952337093999,16.1825423942064,test,4
1051,2025/08/14 13:56:34.119,58.581226,16.148185,test,4
1054,2025/08/14 14:37:04.280,58.6013096,16.158708,test,5
1058,2025/08/14 14:53:08.514,58.5819842039122,16.1492064449746,test,4
1060,2025/08/14 14:59:02.242,58.5865824250212,16.1628329646318,test,2
1061,2025/08/14 15:01:21.863,58.5876050302972,16.1664340208028,test,2
1062,2025/08/14 15:05:13.021,58.588586344492,16.1766400936085,test,4
1063,2025/08/14 15:07:30.398,58.5904493939785,16.1785192461854,test,4
1064,2025/08/14 15:11:46.005,58.5962560845031,16.1832202477417,test,5
1065,2025/08/14 15:17:08.646,58.5966692088223,16.1817734035893,test,4
1076,2025/08/15 12:51:11.304,58.5861885989871,16.1673518553798,test,4
